"COMMENT_ID","AUTHOR","DATE","CONTENT","CLASS"
"LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU","Julius NM","2013-11-07T06:20:48","Huh, anyway check out this you[tube] channel: kobyoshi02",1
"LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A","adam riyati","2013-11-07T12:37:15","Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
"LZQPQhLyRh9MSZYnf8djyk0gEF9BHDPYrrK-qCczIY8","Evgeny Murashkin","2013-11-08T17:34:21","just for test I have to say murdev.com",1
"z13jhp0bxqncu512g22wvzkasxmvvzjaz04","ElNino Melendez","2013-11-09T08:28:43","me shaking my sexy ass on my channel enjoy ^_^ ",1
"z13fwbwp1oujthgqj04chlngpvzmtt3r3dw","GsMega","2013-11-10T16:05:38","watch?v=vtaRGgvGtWQ   Check this out .",1
"LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc","Jason Haddad","2013-11-26T02:55:11","Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
"z13lfzdo5vmdi1cm123te5uz2mqig1brz04","ferleck ferles","2013-11-27T21:39:24","Subscribe to my channel ",1
"z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k","Bob Kanowski","2013-11-28T12:33:27","i turned it on mute as soon is i came on i just wanted to check the  views...",0
"z13ttt1jcraqexk2o234ghbgzxymz1zzi04","Cony","2013-11-28T16:01:47","You should check my channel for Funny VIDEOS!!",1
"z12avveb4xqiirsix04chxviiljryduwxg0","BeBe Burkey","2013-11-28T16:30:13","and u should.d check my channel and tell me what I should do next!",1
"z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k","Huckyduck","2013-11-28T17:06:17","Hey subscribe to me",1
"z13xit5agm2zyh4f523rst2gowmbx5bml","Lone Twistt","2013-11-28T17:34:55"," Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.",1
"z13pejoiuozwxtdu323dspopnri4xts0f","Archie Lewis","2013-11-28T17:54:39","https://twitter.com/GBphotographyGB",1
"z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k","TheUploadaddict","2013-11-28T18:12:12","subscribe like comment",1
"z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k","Francisco Nora","2013-11-28T19:52:35","please like :D https://premium.easypromosapp.com/voteme/19924/616375350",1
"z13phrmwrkfisn5er22eyrbpbvaiwfvwf04","Gaming and Stuff PRO","2013-11-28T21:14:13","Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!",1
"z13bgdvyluihfv11i22rgxwhuvabzz1os04","Zielimeek21","2013-11-28T21:49:00","I'm only checking the views",0
"z13vxpnoxsyeuv2jr04cctprprb1slnxdf4","OutrightIgnite","2013-11-28T21:55:02","http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ",1
"z12qth5j0ob1fx3q404chvy4fz32tbkpllk0k","Tony K Frazier","2013-11-28T23:57:13","http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K",1
"z13etj0bclzfztuwc04cgfvrgmf3fvjor1g","Jose Renteria","2013-11-29T00:22:01","We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel",1
"z12axnji5w2axxht522thb3bktvqjdlbp04","zhichao wang","2013-11-29T02:13:56","i think about 100 millions of the views come from people who only wanted to  check the views",0
"z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k","Carlos Thegamer","2013-12-01T01:20:21","subscribe to my channel people :D",1
"z12ohdxjtsatvppjb04cctprprb1slnxdf4","OutrightIgnite","2013-12-01T03:30:55","Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie",1
"z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k","Owen Lai","2013-12-01T04:51:52","just checking the views",0
"LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE","||GuitarZ||","2013-12-23T12:54:38","CHECK OUT MY CHANNEL",1
"LZQPQhLyRh9y57URF7qpZRk3MVAJNLNhhZga_5YWBU8","Living4Techno","2013-12-25T19:46:26","marketglory . com/strategygame/andrijamatf earn real money from game",1
"LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw","8-BitMusic","2013-12-27T23:07:50","Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!",1
"z13kszcinpnvc34v2234fnpxkpmlw3nhc04","Kyle Jaber","2014-01-19T00:21:29","Check me out! I'm kyle. I rap so yeah ",1
"z13tj514otzlurfbc04ccjwhrnmej1iihqw0k","Brandon Pryor","2014-01-19T00:36:25","I dont even watch it anymore i just come here to check on 2 Billion or not",0
"z13zvh1rmk3cf3mby04civbq5mjtddmbysk0k","Fun&amp;Hacks","2014-01-19T00:42:35","Subscribe to me for free Android games, apps.. ",1
"z120y3ribybzdf3fj23sf1rpgq3cex0sh","Young Hittaz","2014-01-19T04:21:11","everyone please come check our newest song in memories of Martin Luther  King Jr.",1
"z13autsqgzblcx3w104chr4r2kexd10rxc0","DropShotSk8r","2014-01-19T04:27:18","Came here to check the views, goodbye.",0
"z12wvpxppxz3ifk3j224cbsgqraherzrg04","ElepticRage","2014-01-19T08:55:53","sub my channel for no reason -_-",1
"z121e3zq5kj3ip2ch22ks3vwekuaibrgc04","Joengz","2014-01-19T10:31:10","Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o",1
"z13kxpqqssa0hlryd04cc1dxeyyngljjngk","Tasha Lucius","2014-01-19T13:25:56","2 billion....Coming soon",0
"z13iuzxwamqhzppyp04cdz1amyzpfdnpdns0k","Jason Provencal","2014-01-19T16:15:54","Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ",0
"z12txle43yfhvt0f323eghbxivmuytieq","Kiddy Kidso","2014-01-19T16:49:52","Check my channel please! And listen to the best music ever :P",1
"z13zj1grjzqhhxzlj23gdpzaovunwnn0f","HamzaMurt | Advanced Warefare | Lets Play!","2014-01-19T17:20:58","SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS",1
"z13csdop4venytrru04cf11q1wmbdvkrfpo0k","ii Trollercopter","2014-01-19T17:25:23"," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN",1
"z13ce52jzwfitrkup23din4ojputijen3","Eugene Kalinin","2014-01-19T19:21:04","The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin",1
"z13phfyxhovav1hl122bf5iidumufzbel","Cody Tolleson","2014-01-20T02:50:44","YouTube/codytolleson for awesome videos I'll subscribe back ",1
"z13xytyybsypw34yv04cc33xkke1grugh2w","cake cat","2014-01-20T04:45:34","if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel",1
"z13vsbcjwrybe3hsf23sgvnxfr3zxnion04","World327RS","2014-01-20T06:16:28","SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ",1
"z12jvnua2tifirkvk23cfjtpxwmgxfch004","Didier Drogba","2014-01-20T06:57:25","http://www.twitch.tv/jaroadc come follow and watch my stream!",1
"z13stv3brxe1snv2i225fnvganneudej004","MFkin PRXPHETZ","2014-01-20T09:08:39","if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz",1
"z12ktfsarrv0wdj3p22ifbxz3zn2fthhw04","Dave X","2014-01-20T10:12:07","....subscribe......  ......to my........  .....channel.......",1
"z121znjjloycwtjf2233dfo5esfggn3lj","crestpee","2014-01-20T13:03:12","now its 1,884,034,783 views! pls. comment the view count the next hour :P",0
"z125zbmwryjwxzx4504cfjzwbtztuvkif3c","Leonardo Baptista","2014-01-20T15:10:27","http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ",1
"z12stpyqaonsercxw04cjbr4dlnrxd34soo0k","Phuc Ly","2014-01-20T15:27:47","go here to check the views :3",0
"z13nvr2xayrwffsio04cj3zwyuf3vb1imdg","Milan George","2014-01-20T16:15:09","thumbs up if u checked this video to see hw views it got",0
"z13uzhdomzvbffvwa04cgplq2zewfz2hm2k","Kirsty Brown","2014-01-20T16:41:27","Plz subscribe to my channel and I will subscribe back xx",1
