"instant","dteday","season","yr","mnth","holiday","weekday","temp","atemp","hum","windspeed","casual","registered","cnt","workday","weather","days_since_2011","cnt_2d_bfr"
3,"2011-01-03","WINTER","2011","JAN","N","MON",1.229108,22.43977,43.7273,16.636703,120,1229,1349,"Y","GOOD",2,985
4,"2011-01-04","WINTER","2011","JAN","N","TUE",1.4,23.212148,59.0435,10.739832,108,1454,1562,"Y","GOOD",3,801
5,"2011-01-05","WINTER","2011","JAN","N","WED",2.666979,23.79518,43.6957,12.5223,82,1518,1600,"Y","GOOD",4,1349
6,"2011-01-06","WINTER","2011","JAN","N","THU",1.604356,23.929106,51.8261,6.0008684,88,1518,1606,"Y","GOOD",5,1562
7,"2011-01-07","WINTER","2011","JAN","N","FRI",1.236534,23.100526,49.8696,11.304642,148,1362,1510,"Y","MISTY",6,1600
8,"2011-01-08","WINTER","2011","JAN","N","SAT",-0.244999999999999,21.516636,53.5833,17.875868,68,891,959,"N","MISTY",7,1606
9,"2011-01-09","WINTER","2011","JAN","N","SUN",-1.498349,19.94995,43.4167,24.25065,54,768,822,"N","GOOD",8,1510
10,"2011-01-10","WINTER","2011","JAN","N","MON",-0.910849000000001,21.130192,48.2917,14.958889,41,1280,1321,"Y","GOOD",9,959
11,"2011-01-11","WINTER","2011","JAN","N","TUE",-0.0527230000000003,22.509776,68.6364,8.182844,43,1220,1263,"Y","MISTY",10,822
12,"2011-01-12","WINTER","2011","JAN","N","WED",0.118169,21.456082,59.9545,20.410009,25,1137,1162,"Y","GOOD",11,1321
13,"2011-01-13","WINTER","2011","JAN","N","THU",-0.244999999999999,21.130022,47.0417,20.167,38,1368,1406,"Y","GOOD",12,1263
14,"2011-01-14","WINTER","2011","JAN","N","FRI",-0.439109999999999,22.406042,53.7826,8.478716,54,1367,1421,"Y","GOOD",13,1162
15,"2011-01-15","WINTER","2011","JAN","N","SAT",2.966651,24.435808,49.875,10.583521,222,1026,1248,"N","MISTY",14,1406
16,"2011-01-16","WINTER","2011","JAN","N","SUN",2.888349,23.963378,48.375,12.625011,251,953,1204,"N","GOOD",15,1421
17,"2011-01-17","WINTER","2011","JAN","Y","MON",0.264151,22.010214,53.75,12.999139,117,883,1000,"N","MISTY",16,1248
18,"2011-01-18","WINTER","2011","JAN","N","TUE",2.183349,23.899322,86.1667,9.833925,9,674,683,"Y","MISTY",17,1204
19,"2011-01-19","WINTER","2011","JAN","N","WED",5.732178,26.146348,74.1739,13.957239,78,1572,1650,"Y","MISTY",18,1000
20,"2011-01-20","WINTER","2011","JAN","N","THU",4.298349,24.6717,53.8333,13.125568,83,1844,1927,"Y","MISTY",19,683
21,"2011-01-21","WINTER","2011","JAN","N","FRI",0.342499999999999,21.366322,45.7083,23.667214,75,1468,1543,"Y","GOOD",20,1650
22,"2011-01-22","WINTER","2011","JAN","N","SAT",-5.2208712,18.6883664,40,11.52199,93,888,981,"N","GOOD",21,1927
23,"2011-01-23","WINTER","2011","JAN","N","SUN",-3.4634801,19.3605294,43.6522,16.5222,150,836,986,"N","GOOD",22,1543
24,"2011-01-24","WINTER","2011","JAN","N","MON",-3.4226089,20.00962,49.1739,10.60811,86,1330,1416,"Y","GOOD",23,981
25,"2011-01-25","WINTER","2011","JAN","N","TUE",2.503466,23.973884,61.6957,8.696332,186,1799,1985,"Y","MISTY",24,986
26,"2011-01-26","WINTER","2011","JAN","N","WED",2.2225,22.9224,86.25,19.68795,34,472,506,"Y","BAD",25,1416
27,"2011-01-27","WINTER","2011","JAN","N","THU",1.165,23.4698,68.75,7.627079,15,416,431,"Y","GOOD",26,1985
28,"2011-01-28","WINTER","2011","JAN","N","FRI",1.563466,23.592778,79.3043,8.2611,38,1129,1167,"Y","MISTY",27,506
29,"2011-01-29","WINTER","2011","JAN","N","SAT",1.236534,23.212284,65.1739,9.739455,123,975,1098,"N","GOOD",28,431
30,"2011-01-30","WINTER","2011","JAN","N","SUN",2.176534,24.510948,72.2174,4.9568342,140,956,1096,"N","GOOD",29,1167
31,"2011-01-31","WINTER","2011","JAN","N","MON",0.499150999999999,22.3325,60.375,12.541864,42,1459,1501,"Y","MISTY",30,1098
32,"2011-02-01","WINTER","2011","FEB","N","TUE",1.032178,23.97402,82.9565,3.565271,47,1313,1360,"Y","MISTY",31,1096
33,"2011-02-02","WINTER","2011","FEB","N","WED",4.22,24.650178,77.5417,17.708636,72,1454,1526,"Y","MISTY",32,1501
34,"2011-02-03","WINTER","2011","FEB","N","THU",0.786979,22.047852,43.7826,18.609384,61,1489,1550,"Y","GOOD",33,1360
35,"2011-02-04","WINTER","2011","FEB","N","FRI",1.931288,23.771958,58.5217,8.565213,88,1620,1708,"Y","MISTY",34,1526
36,"2011-02-05","WINTER","2011","FEB","N","SAT",2.966651,24.263972,92.9167,10.792293,100,905,1005,"N","MISTY",35,1550
37,"2011-02-06","WINTER","2011","FEB","N","SUN",5.434151,25.916814,56.8333,9.5006,354,1269,1623,"N","GOOD",36,1708
38,"2011-02-07","WINTER","2011","FEB","N","MON",4.768349,26.324372,73.8333,3.0423561,120,1592,1712,"Y","GOOD",37,1005
39,"2011-02-08","WINTER","2011","FEB","N","TUE",2.379151,22.740364,53.7917,24.25065,64,1466,1530,"Y","GOOD",38,1623
40,"2011-02-09","WINTER","2011","FEB","N","WED",-1.665199,20.905622,49.4783,12.652213,53,1552,1605,"Y","MISTY",39,1712
41,"2011-02-10","WINTER","2011","FEB","N","THU",-1.215644,21.084632,43.7391,14.869645,47,1491,1538,"Y","GOOD",40,1530
42,"2011-02-11","WINTER","2011","FEB","N","FRI",0.887277000000001,23.259306,50.6364,7.27285,149,1597,1746,"Y","GOOD",41,1605
43,"2011-02-12","WINTER","2011","FEB","N","SAT",2.4575,23.920436,54.4167,13.625589,288,1184,1472,"N","GOOD",42,1538
44,"2011-02-13","WINTER","2011","FEB","N","SUN",6.876534,27.019842,45.7391,17.479161,397,1192,1589,"N","GOOD",43,1746
45,"2011-02-14","WINTER","2011","FEB","N","MON",11.505,29.5439,37.5833,27.999836,208,1705,1913,"Y","GOOD",44,1472
46,"2011-02-15","WINTER","2011","FEB","N","TUE",4.506089,24.645316,31.4348,19.522058,140,1675,1815,"Y","GOOD",45,1589
47,"2011-02-16","WINTER","2011","FEB","N","WED",6.958267,26.7508,42.3478,16.869997,218,1897,2115,"Y","GOOD",46,1913
48,"2011-02-17","WINTER","2011","FEB","N","THU",12.484151,30.574372,50.5,15.416968,259,2216,2475,"Y","GOOD",47,1815
49,"2011-02-18","WINTER","2011","FEB","N","FRI",16.518349,33.407422,51.6667,17.749975,579,2348,2927,"Y","GOOD",48,2115
50,"2011-02-19","WINTER","2011","FEB","N","SAT",10.760849,29.307736,18.7917,34.000021,532,1103,1635,"N","GOOD",49,2475
51,"2011-02-20","WINTER","2011","FEB","N","SUN",5.405199,25.42922,40.7826,14.956745,639,1173,1812,"N","GOOD",50,2927
52,"2011-02-21","WINTER","2011","FEB","Y","MON",6.256651,25.65855,60.5,20.625682,195,912,1107,"N","MISTY",51,1635
53,"2011-02-22","WINTER","2011","FEB","N","TUE",0.564434,22.325122,57.7778,13.110761,74,1376,1450,"Y","GOOD",52,1812
