;filename;ncharacters;zaehlmarke
1;adversarial.html;20704;"<img src=""https://vg05.met.vgwort.de/na/27480553cfde4e9a9a32ec70c7073327"" width=""1"" height=""1"" alt="""">"
2;agnostic.html;5289;"<img src=""https://vg05.met.vgwort.de/na/e6023335b6b2446caac4df2be66cfe86"" width=""1"" height=""1"" alt="""">"
3;ale.html;34386;"<img src=""https://vg05.met.vgwort.de/na/ffd6874b2f9146c1b150f6c372e370bf"" width=""1"" height=""1"" alt="""">"
4;bike-data.html;1852;"<img src=""https://vg05.met.vgwort.de/na/d665819f5fe64cf79bd4d0b206d92e39"" width=""1"" height=""1"" alt="""">"
5;cervical.html;1861;"<img src=""https://vg05.met.vgwort.de/na/fbcf135158d14c68b591dfead8939918"" width=""1"" height=""1"" alt="""">"
6;cnn-features.html;23316;"<img src=""https://vg05.met.vgwort.de/na/921b2030d5324962a13ec97e1ba6077f"" width=""1"" height=""1"" alt="""">"
7;counterfactual.html;28069;"<img src=""https://vg05.met.vgwort.de/na/aef9cca39e3340b98871ba55ac846f5a"" width=""1"" height=""1"" alt="""">"
8;decomposition.html;25610;"<img src=""https://vg05.met.vgwort.de/na/7aad88d5430c4a92adc991e05491e3a8"" width=""1"" height=""1"" alt="""">"
9;evaluation-of-interpretability.html;2060;"<img src=""https://vg05.met.vgwort.de/na/b3f3b76a5f894339b85783219c19f6c9"" width=""1"" height=""1"" alt="""">"
10;example-based.html;5178;"<img src=""https://vg05.met.vgwort.de/na/7ed4bc4793cf4562a8d37df7541fd216"" width=""1"" height=""1"" alt="""">"
11;explanation.html;14516;"<img src=""https://vg05.met.vgwort.de/na/813542fe6387483382d55687895d67e6"" width=""1"" height=""1"" alt="""">"
12;extend-lm.html;35255;"<img src=""https://vg05.met.vgwort.de/na/3222f799db2548adaac928160c3cf4c3"" width=""1"" height=""1"" alt="""">"
13;feature-importance.html;18174;"<img src=""https://vg05.met.vgwort.de/na/71afb263d40443eba7dade8db339505e"" width=""1"" height=""1"" alt="""">"
14;future.html;3755;"<img src=""https://vg05.met.vgwort.de/na/2883e3d5de334951b7c1f33dbdf2ce2f"" width=""1"" height=""1"" alt="""">"
15;global.html;9014;"<img src=""https://vg05.met.vgwort.de/na/8697699791ef4494baa3e2ed211a4ca1"" width=""1"" height=""1"" alt="""">"
16;ice.html;7853;"<img src=""https://vg05.met.vgwort.de/na/1500a8670b0a4a208dfe0a11384512ad"" width=""1"" height=""1"" alt="""">"
17;influential.html;35083;"<img src=""https://vg05.met.vgwort.de/na/4a0691bb638c41cf87531d6429243439"" width=""1"" height=""1"" alt="""">"
18;interaction.html;13151;"<img src=""https://vg05.met.vgwort.de/na/cf840665a09744788350b95bfb4b015d"" width=""1"" height=""1"" alt="""">"
19;interpretability-importance.html;14500;"<img src=""https://vg05.met.vgwort.de/na/a26b2ffc3d18486cb38b05ea0d885346"" width=""1"" height=""1"" alt="""">"
20;lime.html;17566;"<img src=""https://vg05.met.vgwort.de/na/c6c51f8937ff4e5da08e3de88bc554f2"" width=""1"" height=""1"" alt="""">"
21;limo.html;31921;"<img src=""https://vg05.met.vgwort.de/na/da235724671048479678d08e0d54ee58"" width=""1"" height=""1"" alt="""">"
22;logistic.html;11057;"<img src=""https://vg05.met.vgwort.de/na/849783cecc5940c4a6929354c8091054"" width=""1"" height=""1"" alt="""">"
